"x1","y1","x2","y2"
5472.366944,-2909.437513,5483.40756,-2940.803839
5472.366944,-2909.437513,5322.858608,-2721.824516
5281.360376,-2668.66808,5178.462023,-2706.569321
5281.360376,-2668.66808,5379.094102,-2532.040174
5281.360376,-2668.66808,5322.858608,-2721.824516
4982.564596,-2497.363538,4996.065912,-2661.219089
4982.564596,-2497.363538,4781.305867,-2426.19032
4982.564596,-2497.363538,5131.368084,-2486.349847
4982.564596,-2497.363538,5094.320776,-2350.835527
4973.901305,-3055.180598,4896.982072,-3120.958225
4973.901305,-3055.180598,5079.041878,-3165.419231
4973.901305,-3055.180598,4996.065912,-2661.219089
5496.119898,-2492.433771,5379.094102,-2532.040174
5496.119898,-2492.433771,5456.823966,-2441.52256
4492.930564,-3038.291675,4397.765527,-3118.031843
4492.930564,-3038.291675,4210.372928,-2990.672863
4183.400918,-2470.854817,4191.888816,-2595.212397
4016.09009,-2464.819554,4191.888816,-2595.212397
4016.09009,-2464.819554,4183.400918,-2470.854817
4013.556085,-2274.906507,4016.09009,-2464.819554
3818.622423,-2725.215911,3629.658684,-2465.294967
3818.622423,-2725.215911,4118.636672,-2807.539271
3643.471375,-2641.10231,3629.658684,-2465.294967
3643.471375,-2641.10231,3818.622423,-2725.215911
3643.06807,-3085.33154,3528.061405,-3152.146043
3873.236984,-2294.994544,4016.09009,-2464.819554
4539.298227,-2877.086862,4492.930564,-3038.291675
4539.298227,-2877.086862,4497.686951,-2704.362822
3628.393372,-2768.421291,3643.06807,-3085.33154
4740.072303,-2389.132382,4776.568709,-2419.793203
4740.072303,-2389.132382,4781.305867,-2426.19032
3836.532099,-2996.417008,3915.447578,-3293.858891
3836.532099,-2996.417008,3628.393372,-2768.421291
4227.23007,-2712.388275,4497.686951,-2704.362822
4227.23007,-2712.388275,4191.888816,-2595.212397
4220.729877,-2246.104661,4013.556085,-2274.906507
4119.526883,-2945.532337,4210.372928,-2990.672863
4119.526883,-2945.532337,4118.636672,-2807.539271
3923.461865,-2938.522161,3915.447578,-3293.858891
3923.461865,-2938.522161,3836.532099,-2996.417008
3923.461865,-2938.522161,4119.526883,-2945.532337
3548.290994,-2510.26725,3629.658684,-2465.294967
3548.290994,-2510.26725,3643.471375,-2641.10231
3950.086641,-2268.589041,4013.556085,-2274.906507
3950.086641,-2268.589041,3873.236984,-2294.994544
4589.991138,-2363.628148,4497.686951,-2704.362822
4589.991138,-2363.628148,4740.072303,-2389.132382
4199.84695,-2844.158444,4210.372928,-2990.672863
4199.84695,-2844.158444,4118.636672,-2807.539271
4199.84695,-2844.158444,4227.23007,-2712.388275
3492.564855,-2827.954148,3628.393372,-2768.421291
4682.403863,-2816.709983,4630.084424,-3194.855929
4682.403863,-2816.709983,4783.957428,-2822.5623
4682.403863,-2816.709983,4539.298227,-2877.086862
4429.113426,-2427.169455,4183.400918,-2470.854817
4429.113426,-2427.169455,4589.991138,-2363.628148
3341.589866,-3028.01406,3399.792235,-3090.400824
3379.178666,-2918.881,3399.792235,-3090.400824
3379.178666,-2918.881,3643.06807,-3085.33154
2924.993836,-3025.688908,2877.700692,-3159.647891
2924.993836,-3025.688908,3186.102636,-3158.628671
3344.999681,-2316.05312,3548.290994,-2510.26725
2703.644597,-2414.742642,2832.001417,-2523.389087
3211.073042,-2433.423353,3372.553048,-2600.36271
3211.073042,-2433.423353,3344.999681,-2316.05312
3351.088882,-2613.077352,3372.553048,-2600.36271
2367.497757,-2461.497359,2175.178594,-2338.993714
2874.056345,-2905.971714,2924.993836,-3025.688908
2874.056345,-2905.971714,3116.224941,-2891.871596
2874.056345,-2905.971714,2621.718225,-2633.834385
2768.409379,-2510.118854,2832.001417,-2523.389087
2768.409379,-2510.118854,2703.644597,-2414.742642
2768.409379,-2510.118854,2621.718225,-2633.834385
2383.81593,-2961.72212,2158.32181,-3151.15109
3207.648338,-2983.47892,3186.102636,-3158.628671
3207.648338,-2983.47892,3341.589866,-3028.01406
3207.648338,-2983.47892,3116.224941,-2891.871596
3305.299863,-2814.350284,3492.564855,-2827.954148
3305.299863,-2814.350284,3379.178666,-2918.881
3369.366301,-2647.454746,3492.564855,-2827.954148
3369.366301,-2647.454746,3372.553048,-2600.36271
3369.366301,-2647.454746,3351.088882,-2613.077352
3369.366301,-2647.454746,3305.299863,-2814.350284
2537.397412,-2567.24206,2549.094975,-2238.623169
2537.397412,-2567.24206,2621.718225,-2633.834385
2537.397412,-2567.24206,2367.497757,-2461.497359
2378.58794,-2871.727584,2383.81593,-2961.72212
2300.371001,-2717.357988,2378.58794,-2871.727584
2220.236962,-2799.070847,2378.58794,-2871.727584
