,Node_Count,Convexity,Area_CF,Perim.,Ext.,Disp.,Elong.,Eccentr.,Orient.,Area_SL,ens_location,sample_id
95,4,1,25528,696.0199232,0.509398622,0.354250537,0.155148085,1.99945E+11,39.29891432,25459.87498,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
96,6,1,39324,789.1129608,0.351565526,0.137750842,0.213814683,2.69487E+11,56.59485328,39387.77596,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
97,6,1,20042,576.3275342,0.721037409,0.103261269,0.617776139,49674533895,81.44737899,20007.24095,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
98,6,1,29314.5,775.1006842,1.377761536,0.370603483,1.007158053,1.00635E+12,-70.80548407,29380.7891,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
99,4,1,23911.5,726.6021293,1.613631436,0.079982941,1.533648495,6.38016E+11,87.26618393,23877.56781,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
100,5,1,18214,556.3088817,0.769584732,0.079330035,0.690254697,43598696316,84.32985989,18192.37731,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
101,5,1,6855.5,324.8441274,0.136540315,0.118495011,0.018045304,920806637.5,43.82757377,6864.295976,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
102,7,1,45119,867.2025516,0.706505089,0.171405893,0.535099196,8.37652E+11,22.22882418,45192.02743,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
103,10,0.98760633,78858,1119.009667,0.304595559,0.071790622,0.232804937,6.10725E+11,-20.00843837,78809.71384,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
104,7,1,58428.5,951.4681584,0.136449839,0.072587968,0.063861871,1.05545E+11,54.41056201,58517.34125,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
105,5,1,27361.5,701.0928298,0.67558237,0.239234369,0.436348001,1.84215E+11,-63.71057427,27396.20305,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
106,7,1,80605.5,1102.026856,0.613363922,0.044666265,0.568697657,2.71441E+12,-78.57774849,80576.67297,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
107,8,1,80141,1160.627513,0.58255123,0.399105163,0.183446067,9.32943E+12,39.2683705,80181.33199,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
108,5,0.999932062,30779.5,815.3992837,0.625720104,0.528007779,0.097712326,6.47284E+11,42.01170882,30783.16191,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
109,8,1,25566,617.0578359,0.280091353,0.138861656,0.141229696,81613064095,52.14522772,25530.97771,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
110,8,1,42658,847.644686,0.174837293,0.155026148,0.019811145,24441014767,48.96316198,42789.44336,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
111,8,1,40377,777.0278335,0.176027222,0.060813643,0.115213579,14885915405,-13.63227487,40488.70306,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
112,5,1,17057.5,678.3397936,1.668756285,1.136793445,0.53196284,5.40527E+11,33.37704915,16945.85944,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
113,7,1,85020.5,1165.960766,0.274693362,0.172188196,0.102505166,3.12053E+12,39.84183764,85074.9109,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
114,6,1,31738.5,707.1396122,0.29323581,0.170512214,0.122723596,1.5729E+11,38.65803022,31870.31994,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
115,6,0.999808847,34244,790.2570693,0.951533405,0.284434938,0.667098467,7.23701E+11,22.86639682,34341.84398,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
116,6,1,28634.5,686.1547126,0.529170439,0.135554272,0.393616166,56728400535,7.483131096,28547.73784,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
117,4,1,24962,682.8734392,0.840594349,0.207185647,0.633408702,1.60635E+11,-17.78768331,24966.06494,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
118,7,1,82095.5,1127.620689,0.374304259,0.154315619,0.219988641,3.0716E+12,55.69551494,82090.24076,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
119,6,1,73690,1046.358775,0.295888175,0.076817104,0.219071071,7.25066E+11,26.55785274,73645.92072,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
120,6,1,40633,876.3425497,0.608391068,0.498397466,0.109993602,1.53808E+12,41.74436712,40630.82905,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
121,4,1,16702.5,586.6235246,1.013688737,0.245681506,0.768007231,64940196708,-14.22877016,16653.60672,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
122,10,0.991915637,111641.5,1369.393555,0.687504166,0.233879896,0.45362427,1.35874E+13,-63.62711508,111624.3913,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
123,8,0.993176142,83519.5,1177.702638,0.675034266,0.114275366,0.5607589,3.54744E+12,-75.90903202,83603.63219,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
124,4,1,11667,529.5384549,1.562909582,0.56492375,0.997985832,93274706508,-68.51021321,11717.64641,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
125,8,1,45561,922.865688,0.799416994,0.590431028,0.208985965,2.96339E+12,39.35584464,45475.41563,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
126,7,1,67962,1003.70181,0.383605802,0.053504581,0.330101221,7.82859E+11,20.17637884,67939.96271,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
127,5,1,29931.5,701.2393228,0.543532115,0.102046627,0.441485488,79274218105,-6.215326605,29937.577,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
128,10,1,76917.5,1041.536057,0.376806609,0.026921768,0.349884841,8.11942E+11,9.725705487,76933.01466,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
129,9,0.994467487,59723.5,1079.441798,0.773332804,0.600301205,0.173031599,6.30099E+12,49.84498913,59688.25828,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
130,10,0.98432791,87613,1400.58269,1.460894433,0.598182562,0.86271187,3.6457E+13,65.55747547,87636.69285,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
131,7,0.999998663,23818,654.5869171,0.741156285,0.471359554,0.26979673,3.15276E+11,37.04661033,23925.73495,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
132,5,0.998719593,15610,569.492818,1.172957632,0.208760157,0.964197475,72745451047,-81.69986829,15597.22834,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
133,8,1,70284.5,986.0208197,0.205432416,0.030893623,0.174538793,1.55013E+11,79.76821137,70376.89793,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
134,4,1,7099.5,539.8001661,2.483429111,1.683643465,0.799785647,1.21034E+11,29.08006863,7125.484456,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
135,7,1,69754,1030.314529,0.274325949,0.155324887,0.119001062,1.67334E+12,39.00751237,69769.78239,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
136,6,1,26418,755.1494242,1.554324031,0.352563143,1.201760888,8.87262E+11,74.82092012,26503.74771,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
137,5,1,7021.5,356.9067491,0.624034365,0.156260095,0.467774271,1135414096,87.1264566,6978.75591,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
