,area,perim,eccentr,orient,ext,disp,elong,ens_location,sample_id
119,76839.109,911.047,1.02E+13,-12.37,6.009,5.619,0.39,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
120,12855.404,364.052,88970009929,22.816,5.14,4.749,0.39,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
121,73213.931,878.783,1.80E+13,-5.145,6.111,5.519,0.592,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
122,21118.61,441.551,1.19415E+11,39.416,4.947,4.691,0.256,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
123,42237.22,663.727,1.22212E+11,-75.978,5.491,5.394,0.098,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
124,77769.464,953.559,3.47E+13,-3.951,6.008,5.337,0.672,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
125,88901.648,951.507,1.47E+13,-60.28,6.105,5.712,0.392,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
126,11068.021,376.492,64207123619,-42.194,5.234,4.878,0.356,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
127,17559.886,403.384,1.11664E+11,83.187,4.861,4.552,0.309,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
128,24122.787,515.34,1.17E+12,-88.764,5.69,5.193,0.497,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
129,46304.66,725.165,3.42E+12,86.785,5.554,5.14,0.415,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
130,24164.034,492.652,3.88797E+11,32.544,5.125,4.712,0.412,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
131,34647.719,591.585,1.98E+12,80.502,5.649,5.153,0.495,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
132,31707.705,553.848,1.47E+12,-79.925,5.698,5.201,0.497,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
133,72434.815,1068.632,2.95E+13,-80.688,5.95,5.298,0.652,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
134,30550.489,576.841,6.39273E+11,73.94,5.374,5.067,0.307,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
135,13556.608,354.88,3.22253E+11,-30.874,5.087,4.213,0.874,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
136,58199.919,814.533,9.91E+12,58.087,5.669,5.068,0.601,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
137,48208.91,665.537,4.15E+12,-32.688,5.558,5.008,0.551,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
138,21173.606,493.349,1.87049E+11,6.862,5.143,4.902,0.241,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
139,23103.063,600.872,5.87E+12,-86.308,6.355,4.662,1.693,distal,dist-sub-COQF2-1-sam-2-1-1-cropped
